דפוס,סוג דפוס ,יצירה,קוד יצירה,place, year,digital editions,NLI-ID,NLI-Scanned text,Sefaria JSON Name,Sefaria JSON - LINK
"The Fathers according to Rabbi Nathan (Abot de Rabbi Nathan) version B, a translation and commentary by A.J. Saldarini, Leiden-Brill 1975.",,אבות דרבי נתן,2:1:1.0,Mantua,1975,,,,,
"Goldin, The Fathers According to Rabbi Nathan, New Haven 1995.",,אבות דרבי נתן,2:1:1.0,New Haven,1995,,,,,
"Geniza-Fragmente zu Avot de-Rabbi Natan, in Zusammenarbeit mit C. Berner, W. Drews und U. Kämpf, herausgegeben von H.J. Becker, Tübingen 2004.",,אבות דרבי נתן,2:1:1.0,Tübingen,2004,,,,,
"פרקי דרבי אליעזר, קושטא רע""ד.",דפוס חשוב,פרקי דרבי אליעזר,41:T,Constantinople,1514,,,,,
"פרקי דרבי אליעזר, עם ביאור רד""ל, ורשה תרי""ב (דפוס צילום ירושלים תש""ל).",,פרקי דרבי אליעזר,41:T,Jerusalem,1970,,,,,
"פרקי דרבי אליעזר, עם ביאור הבית הגדול, שלום ברודא, למברג תר""ל.",,פרקי דרבי אליעזר,41:T,Lviv,1870,,,,,
"פרקי דרבי אליעזר, מהד' היגער, חורב ח-י, 1944-1948.",,פרקי דרבי אליעזר,41:T,New York,1944,,,,,
"פרקי דרבי אליעזר, מהד' הורוויץ, ירושלים תשל""ב.",,פרקי דרבי אליעזר,41:T,Jerusalem,1972,,,,,
"צ""מ רבינוביץ, 'קטעי גניזה מפרקי דרבי אליעזר', בר-אילן טז-יז, תשל""ט, עמ' 100-111.",,פרקי דרבי אליעזר,41:T,Ramat Gan,1979,,,,,
"פרקי דרבי אליעזר, ירושלים תשס""ה.",,פרקי דרבי אליעזר,41:T,Jerusalem,2005,,,,,
"Friedlander, Pirke de-Rabbi Eliezer, London 1916 (New York 1981).",,פרקי דרבי אליעזר,41:T,London,1916,,,,,
"Pérez Fernández, Los Capitolos de Rabbi Eliezer, Valencia 1984.",,פרקי דרבי אליעזר,41:T,Valencia,1984,,,,,
"דפוס ראשון: תנא דבי אליהו, ונציה שנ""ח.",דפוס חשוב,סדר אליהו,לא נמצא,Venice,1598,,,,,
"דפוס שני: תנא דבי אליהו עם פירוש זיקוקין דנורא ובעורין דאשא מאת ר' שמואל היידא, פראג תל""ו.",,סדר אליהו,לא נמצא,Prague,1965,,,,,
"תנא דבי אליהו זוטא, בתוך: מ""ה הורוויץ (עורך), בית עקד האגדות ב, פרנקפורט תרמ""א-תרמ""ב.",,סדר אליהו,לא נמצא,Frankfurt,1981,,,,,
"סדר אליהו רבא וסדר אליהו זוטא, מהד' איש שלום, וינה תרס""ב.",כפולה,סדר אליהו,לא נמצא,Vienna,1902,,,,,
"ליקוטי סדר אליהו זוטא מהגניזה, בתוך: ל' גינצבורג (עורך), גנזי שכטר א, ניו יורק תרפ""ח-תרפ""ט, עמ' 238-295.",,סדר אליהו,לא נמצא,New York,1928,,,,,
"תורת כהנים (ספרא) סדר אליהו רבה וזוטא, כתב יד וטיקן 30, ירושלים תשל""ב.",,סדר אליהו,לא נמצא,Jerusalem,1972,,,,,
"Tana Debe Eliyyahu – The Lord of the School of Elijah, translated from the Hebrew by G. Braude and J. Kapstein, Philadelphia 1981.",,סדר אליהו,לא נמצא,Philadelphia,1981,,,,,
"סדר עולם, מנטובה רע""ד.",דפוס חשוב,סדר עולם,3:2:1.0,Mantua,1514,,,,,
"סדר עולם, קושטא רע""ז.",דפוס חשוב,סדר עולם,3:2:1.0,Constantinople,1517,,,,,
"סדר עולם רבא, ונציה ש""ה-ש""ו.",דפוס חשוב,סדר עולם,3:2:1.0,Venice,1545,,,,,
"סדר החכמים וקורות הימים, מהד' נויבאואר, אוקספורד תרמ""ח-תרנ""ג.",כפולה,סדר עולם,3:2:1.0,Oxford,1888,,,,,
